ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
1383,苗栗縣,竹南鎮,,公園路206號,,,,門牌比對失敗或格式有誤,,,
1384,臺中市,霧峰區,本堂里,中正路738之2號,A6626-19,A6626-19-007,A6626-0306-00,AL0-F1-0-2020M07,120.6993547,24.05898164,EPSG:4326
1385,臺北市,中正區,東門里,中山南路21-1號,A6305-06,A6305-06-007,A6305-0248-00,AL0-F2-0-2020M07,121.5183429,25.03553921,EPSG:4326
1386,臺中市,北區,五常里,學士路98號,A6605-38,A6605-38-008,A6605-0462-00,AL0-F1-0-2020M07,120.6828284,24.15523899,EPSG:4326
1387,臺北市,中正區,東門里,中山南路21-1號,A6305-06,A6305-06-007,A6305-0248-00,AL0-F2-0-2020M07,121.5183429,25.03553921,EPSG:4326
1388,臺南市,新化區,太平里,中正路588號,A6718-04,A6718-04-003,A6718-0068-00,AL0-F1-0-2020M07,120.3053017,23.04254534,EPSG:4326
1389,臺東縣,臺東市,民族里,南京路25號,A1401-20,A1401-20-008,A1401-0694-00,AL0-F1-0-2020M07,121.1460924,22.75657673,EPSG:4326
1390,苗栗縣,竹南鎮,,公園路206號,,,,門牌比對失敗或格式有誤,,,
1391,臺東縣,臺東市,民族里,南京路25號,A1401-20,A1401-20-008,A1401-0694-00,AL0-F1-0-2020M07,121.1460924,22.75657673,EPSG:4326
1392,臺東縣,臺東市,民族里,南京路25號,A1401-20,A1401-20-008,A1401-0694-00,AL0-F1-0-2020M07,121.1460924,22.75657673,EPSG:4326
1393,臺東縣,臺東市,民族里,南京路25號,A1401-20,A1401-20-008,A1401-0694-00,AL0-F1-0-2020M07,121.1460924,22.75657673,EPSG:4326
1394,臺東縣,臺東市,民族里,南京路25號,A1401-20,A1401-20-008,A1401-0694-00,AL0-F1-0-2020M07,121.1460924,22.75657673,EPSG:4326
1395,高雄市,鳳山區,新強里,三多一路1號,A6412-71,A6412-71-448,A6412-0794-00,AL0-F1-0-2020M07,120.3424337,22.62416982,EPSG:4326
1396,臺北市,信義區,興雅里,松高路11號,A6302-30,A6302-30-006,A6302-0353-00,AL0-F1-0-2020M07,121.5652423,25.03951511,EPSG:4326
1397,臺北市,信義區,興雅里,松高路11號,A6302-30,A6302-30-006,A6302-0353-00,AL0-F1-0-2020M07,121.5652423,25.03951511,EPSG:4326
1398,臺北市,信義區,興雅里,松高路11號,A6302-30,A6302-30-006,A6302-0353-00,AL0-F1-0-2020M07,121.5652423,25.03951511,EPSG:4326
1399,臺北市,信義區,興雅里,松高路11號,A6302-30,A6302-30-006,A6302-0353-00,AL0-F1-0-2020M07,121.5652423,25.03951511,EPSG:4326
1400,新北市,永和區,新生里,新生路218號5、6樓,A6504-19,A6504-19-001,A6504-0178-00,AL0-F2-0-2020M07,121.5052295,25.01296768,EPSG:4326
1401,臺中市,東區,,,,,,門牌比對失敗或格式有誤,,,
1402,中央路,241,,號6樓,,,,門牌比對失敗或格式有誤,,,
1403,臺南市,中西區,永華里,南門路37號,A6737-21,A6737-21-002,A6737-0330-00,AL0-F1-0-2020M07,120.2050339,22.99107172,EPSG:4326
1404,臺北市,北投區,一德里,學園路1號,A6312-07,A6312-07-011,A6312-0403-00,AL0-F1-0-2020M07,121.4661898,25.12993715,EPSG:4326
1405,臺北市,中正區,南門里,南海路47號,A6305-23,A6305-23-004,A6305-0346-00,AL0-F1-0-2020M07,121.5115716,25.03272295,EPSG:4326
1406,高雄市,苓雅區,中正里,五福一路67號,A6408-28,A6408-28-001,A6408-0238-00,AL0-F1-0-2020M07,120.3170164,22.62824798,EPSG:4326
1407,高雄市,三民區,本揚里,陽明路300號3樓,A6405-88,A6405-88-005,A6405-1004-00,AL0-F2-0-2020M07,120.3424243,22.64333635,EPSG:4326
1408,桃園市,桃園區,光興里,縣府路21號,A6801-79,A6801-79-006,A6801-1237-00,AL0-F1-0-2020M07,121.3003331,24.99402956,EPSG:4326
1409,桃園市,龍潭區,中山里,中興路680號,A6809-05,A6809-05-006,A6809-0262-00,AL0-F1-0-2020M07,121.2223252,24.87188818,EPSG:4326
1410,高雄市,鳳山區,三民里,光遠路161號,A6412-53,A6412-53-339,A6412-0691-00,AL0-F1-0-2020M07,120.3634435,22.62497803,EPSG:4326
1411,南投縣,竹山鎮,雲林里,大勇路26號,A0804-13,A0804-13-006,A0804-0227-00,AL0-F1-0-2020M07,120.6749408,23.75697472,EPSG:4326
1412,新北市,瑞芳區,,,,,,門牌比對失敗或格式有誤,,,
1413,臺北市,中正區,黎明里,忠孝西路一段50號17樓之14,A6305-02,A6305-02-004,A6305-0022-00,AL0-F2-0-2020M07,121.515823,25.04630432,EPSG:4326
1414,臺北市,中正區,黎明里,忠孝西路一段50號17樓之14,A6305-02,A6305-02-004,A6305-0022-00,AL0-F2-0-2020M07,121.515823,25.04630432,EPSG:4326
1415,臺北市,信義區,興隆里,仁愛路四段505號,A6302-30,A6302-30-010,A6302-0362-00,AL0-F1-0-2020M07,121.5602575,25.03951391,EPSG:4326
1416,臺北市,信義區,興隆里,仁愛路四段505號,A6302-30,A6302-30-010,A6302-0362-00,AL0-F1-0-2020M07,121.5602575,25.03951391,EPSG:4326
1417,高雄市,鳳山區,新強里,三多一路1號,A6412-71,A6412-71-448,A6412-0794-00,AL0-F1-0-2020M07,120.3424337,22.62416982,EPSG:4326
1418,高雄市,鳳山區,新強里,三多一路1號,A6412-71,A6412-71-448,A6412-0794-00,AL0-F1-0-2020M07,120.3424337,22.62416982,EPSG:4326
1419,駁二藝,術特區,,蓬萊區B9倉庫近高捷西子灣站出口二,,,,門牌比對失敗或格式有誤,,,
1420,桃園市,中壢區,中央里,中美路16號,A6802-71,A6802-71-008,A6802-1435-00,AL0-F1-0-2020M07,121.2274948,24.95841356,EPSG:4326
1421,臺北市,中山南,,路21-1號，信義路側,,,,門牌比對失敗或格式有誤,,,
1422,高雄市,大樹區,,,,,,門牌比對失敗或格式有誤,,,
1423,桃園市,新屋區,,,,,,門牌比對失敗或格式有誤,,,
1424,高雄市,左營區,自助里,啟文路12號,A6403-36,A6403-36-013,A6403-0634-00,AL0-F1-0-2020M07,120.2856678,22.67308976,EPSG:4326
1425,桃園市,新屋區,,,,,,門牌比對失敗或格式有誤,,,
