ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
38,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
39,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
40,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
41,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
42,臺中市,北區,淡溝里,館前路1號,A6605-35,A6605-35-009,A6605-0471-00,AL0-F1-0-2020M07,120.666160087196,24.1558015267224,EPSG:4326
43,,,,,,,,門牌比對失敗或格式有誤,,,
44,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
45,臺北市,中正區,東門里,徐州路46號,A6305-09,A6305-09-005,A6305-0151-00,AL0-F1-0-2020M07,121.524694611267,25.0403008811871,EPSG:4326
46,臺北市,中正區,東門里,徐州路46號,A6305-09,A6305-09-005,A6305-0151-00,AL0-F1-0-2020M07,121.524694611267,25.0403008811871,EPSG:4326
47,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
48,臺中市,404,,53臺中市北區館前路一號,,,,門牌比對失敗或格式有誤,,,
49,,,,,,,,門牌比對失敗或格式有誤,,,
50,臺北市,中正區,,中正區羅斯福路二段,,,,門牌比對失敗或格式有誤,,,
51,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
