ID(非必填),縣市(必填),鄉鎮(必填),村里(可不填),鄰(可不填),地址(必填)
91,苗栗縣,銅鑼鄉,,,銅科南路6號
92,高雄市,鳳山區,,,三多一路1號
93,苗栗縣,竹南鎮,,,公園路206號
94,高雄市,鼓山區,,,4鄰鼓山三路19-3號
95,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
96,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
97,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
98,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
99,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
100,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
101,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
102,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
103,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
185,高雄市,楠梓區,,,17鄰藍昌路72號
186,高雄市,楠梓區,,,17鄰藍昌路72號
187,高雄市,燕巢區,,,2鄰中民路592號
188,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
189,屏東市,民生路,,,4-17號
190,高雄市,前鎮區,,,8鄰新衙路17號
191,高雄市,左營區,,,2鄰啟文路12號
192,高雄市,鼓山區,,,馬卡道路330號
193,高雄市,鼓山區,,,馬卡道路330號
194,高雄市,楠梓區,,,17鄰藍昌路72號
195,高雄市,楠梓區,,,17鄰藍昌路72號
196,高雄市,鳥松區,,,18鄰大仁北路10號
197,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
198,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
199,高雄市,左營區,,,2鄰啟文路12號
200,高雄市,左營區,,,2鄰啟文路12號
201,高雄市,鹽埕區,,,019鄰中正四路272號
202,臺南市,東區,,,大學路1號
203,台南市,安南區,,,海中街300號
204,臺中市,北區,,,館前路1號
205,臺北市,中山南,,,路21-1號
206,臺中市,霧峰區,,,中正路738之2號
207,臺中市,霧峰區,,,中正路738之2號
208,臺中市,霧峰區,,,中正路738之2號
209,臺中市,霧峰區,,,中正路738之2號
210,臺中市,西區,,,公益路68號
234,高雄市,湖內區,,,3鄰保生路101號
235,宜蘭縣,宜蘭市,,,中山路二段426號
236,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
237,宜蘭縣,蘇澳鎮,,,23鄰中山路一段366號
238,,,,,
239,民雄鄉,建國路,,,2段265號
240,竹北市,縣政九,,,路146號.
241,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
242,苗栗縣,銅鑼鄉,,,銅科南路6號
243,苗栗縣,銅鑼鄉,,,銅科南路6號
244,南投縣,竹山鎮,,,集山路二段345號
245,南投縣,竹山鎮,,,集山路二段345號
246,南投縣,竹山鎮,,,集山路二段345號
247,南投縣,竹山鎮,,,集山路二段345號
248,臺北市,南京東,,,路二段一號三樓
249,高雄市,鹽埕區,,,河西路99號
250,高雄市,鳳山區,,,017鄰光遠路161號
251,高雄市,鳳山區,,,017鄰光遠路161號
252,高雄市,三民區,,,陽明路300號3樓
253,南投縣,魚池鄉,,,中山路
254,南投縣,信義鄉,,,
255,彰化縣,鹿港鎮,,,復興路485號
256,彰化縣,花壇鄉,,,
257,彰化縣,芳苑鄉,,,漁港路1號
258,彰化縣,鹿港鎮,,,鹿工南四路30號
259,彰化縣,鹿港鎮,,,鹿工路15號
260,彰化縣,鹿港鎮,,,民權路160巷2號
261,彰化縣,鹿港鎮,,,鹿工路六號  (彰濱工業區鹿港區)
262,彰化縣,彰化市,,,卦山路4號
263,彰化縣,彰化市,,,中山路2段500號
264,彰化縣,彰化市,,,中山路2段500號
265,彰化縣,彰化市,,,中山路2段500號
266,彰化縣,彰化市,,,中山路2段500號
267,彰化縣,彰化市,,,平和七街66號
268,彰化縣,彰化市,,,中山路三段266-1號
269,彰化縣,鹿港鎮,,,館前街88號
270,彰化縣,彰化市,,,陳稜路126號
271,高雄市,岡山區,,,公園路2-1號
272,彰化縣,彰化市,,,中正路1段242號4樓
273,彰化縣,彰化市,,,中華路57號
274,彰化縣,田中鎮,,,
275,彰化縣,埤頭鄉,,,彰水路二段526號
276,彰化縣,員林市,,,
277,彰化縣,溪湖鎮,,,
278,彰化縣,彰化市,,,民族一街31號
279,彰化縣,彰化市,,,南校街135號
280,彰化縣,彰化市,,,南校街135號
281,彰化縣,福興鄉,,,復興路28號
282,彰化縣,溪湖鎮,,,彰水路二段762號
283,彰化縣,溪湖鎮,,,彰水路二段762號
284,臺中市,西屯區,,,福星路666號
285,臺中市,西屯區,,,福星路666號
310,澎湖縣,馬公市,,,中華路230號
311,澎湖縣,馬公市,,,中華路230號
312,臺北市,中正區,,,貴陽街1段243號
313,臺北市,中正區,,,貴陽街1段243號
314,臺北市,中正區,,,貴陽街1段243號
315,臺北市,中正區,,,貴陽街1段243號
316,臺北市,中正區,,,重慶南路一段122號
317,臺北市,臨溪路,,,70號第二教研大樓二樓
318,新北市,新店區,,,
319,新北市,中和區,,,
320,新北市,淡水區,,,
321,新北市,林口區,,,
322,新北市,三重區,,,
323,新北市,汐止區,,,
324,新北市,三峽區,,,
325,新北市,新莊區,,,
326,新北市,瑞芳區,,,
327,新北市,板橋區,,,中山路一段143號
328,新北市,板橋區,,,中山路一段143號
329,臺中市,北區,,,天祥街19號
330,臺中市,北區,,,天祥街19號
331,嘉義縣,太保市,,,故宮大道888號
332,嘉義縣,太保市,,,故宮大道888號
333,臺北市,中正區,,,長沙街一段二號
334,高雄市,岡山區,,,009鄰岡山南路42號
286,臺中市,西屯區,,,福星路666號
287,臺中市,西屯區,,,福星路666號
288,臺中市,西屯區,,,臺中市西屯區福玄路1號
289,臺中市,西屯區,,,臺中市西屯區福玄路1號
290,臺中市,西屯區,,,臺中市西屯區福玄路1號
291,臺中市,西屯區,,,臺中市西屯區福玄路1號
292,新北市,新店區,,,北新路一段92號
293,澎湖縣,馬公市,,,介壽路13號
294,澎湖縣,馬公市,,,29號
295,澎湖縣,馬公市,,,中華路230號
296,澎湖縣,馬公市,,,新生路327號
297,高雄市,大樹區,,,17鄰中興西路50號
298,南投縣,名間鄉,,,彰南路42-2號三樓
299,南投縣,南投市,,,中正路2號
300,苗栗縣,三義鄉,,,廣聲新城88號
301,苗栗縣,三義鄉,,,廣聲新城88號
302,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
303,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
304,新北市,新莊區,,,中平路133號
305,臺中市,南區,,,興路三段362號
306,台北市,中山北,,,路4段16號
307,基隆市,中山區,,,西定路230號3樓
308,基隆市,中正區,,,
309,基隆市,中正區,,,信一路181號
211,臺北市,松山區,,,復興北路231巷19號4樓
212,臺北市,大同區,,,萬全街103巷19號
213,臺北市,中山區,,,南京東路二段76號5樓
214,臺北市,大同區,,,萬全街103巷19號
215,臺北市,大同區,,,萬全街103巷19號(蝶會會館)
216,臺北市,中山區,,,劍南蝴蝶步道（9：00捷運劍南路站1號出口集合）
217,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
218,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
219,高雄市,鹽埕區,,,019鄰中正四路272號
220,高雄市,鹽埕區,,,019鄰中正四路272號
221,高雄市,鹽埕區,,,019鄰中正四路272號
222,高雄市,鹽埕區,,,019鄰中正四路272號
223,高雄市,左營區,,,龜山巷157-2號
224,新北市,鶯歌區,,,二甲路36-2號
225,花蓮市,文復路,,,6號
226,臺北市,中正區,,,濟南路二段27號
227,宜蘭縣,礁溪鄉,,,
228,宜蘭縣,宜蘭市,,,1鄰光復路13號
229,高雄市,鼓山區,,,鼓山一路32號
230,高雄市,左營區,,,蓮潭路400號
231,高雄市,左營區,,,
232,高雄市,旗津區,,,旗津二路701號
233,高雄市,岡山區,,,009鄰岡山南路42號
132,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
133,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
134,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
135,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
136,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
137,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
138,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
139,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
140,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
141,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
142,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
143,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
144,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
145,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
146,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
147,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
148,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
149,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
150,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
151,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
152,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
153,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
154,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
155,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
156,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
157,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
158,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
159,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
160,臺北市,松山區,,,八德路三段25號(臺北市藝文推廣處)
161,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
162,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
163,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
164,臺南市,玉井區,,,樹糖街22號
165,南投縣,草屯鎮,,,中正路573號
166,南投縣,草屯鎮,,,中正路573號
167,南投縣,草屯鎮,,,中正路573號
168,高雄市,楠梓區,,,17鄰藍昌路72號
169,高雄市,鹽埕區,,,1鄰大仁路179號5樓、6樓
170,臺北市,中山南,,,路21-1號
171,高雄市,鹽埕區,,,河西路99號
172,高雄市,鼓山區,,,4鄰鼓山三路19-3號
173,高雄市,楠梓區,,,17鄰藍昌路72號
174,高雄市,楠梓區,,,17鄰藍昌路72號
175,高雄市,鼓山區,,,4鄰鼓山三路19-3號
176,高雄市,鼓山區,,,4鄰鼓山三路19-3號
177,高雄市,鼓山區,,,4鄰鼓山三路19-3號
178,高雄市,鼓山區,,,4鄰鼓山三路19-3號
179,臺北市,中山南,,,路21-1號
180,高雄市,前鎮區,,,新光路61號
181,南投縣,南投市,,,光明一路252號
182,南投縣,南投市,,,光明一路252號
183,高雄市,楠梓區,,,17鄰藍昌路72號
184,高雄市,楠梓區,,,17鄰藍昌路72號
413,臺中市,南區,,,興路三段362號
414,臺中市,南區,,,興路三段362號
415,臺中市,南區,,,興路三段362號
416,臺中市,南區,,,興路三段362號
417,臺中市,南區,,,興路三段362號
418,臺中市,南區,,,興路三段362號
419,臺中市,南區,,,興路三段362號
420,臺中市,南區,,,興路三段362號
421,臺中市,南區,,,興路三段362號
422,臺中市,南區,,,興路三段362號
423,臺中市,南區,,,興路三段362號
424,臺中市,南區,,,興路三段362號
425,高雄市,鹽埕區,,,8鄰大勇路1號
426,高雄市,鹽埕區,,,8鄰大勇路1號
427,高雄市,鹽埕區,,,8鄰大勇路1號
428,高雄市,鹽埕區,,,8鄰大勇路1號
429,臺北市,文山區,,,景文街32號
430,臺北市,文山區,,,景文街32號
431,臺北市,大同區,,,迪化街1段21號
432,臺北市,士林區,,,外雙溪至善路2段221號
433,臺北市,士林區,,,外雙溪至善路2段221號
434,臺北市,士林區,,,外雙溪至善路2段221號
435,臺北市,士林區,,,外雙溪至善路2段221號
436,臺北市,士林區,,,外雙溪至善路2段221號
437,臺北市,士林區,,,外雙溪至善路2段221號
438,臺北市,士林區,,,外雙溪至善路2段221號
439,臺北市,士林區,,,外雙溪至善路2段221號
440,臺北市,士林區,,,外雙溪至善路2段221號
441,臺北市,信義區,,,松仁路3號
442,臺北市,信義區,,,松仁路3號
443,臺北市,文山區,,,景文街32號
444,臺北市,文山區,,,景文街32號
445,臺北市,中正區,,,長沙街一段2號
446,臺北市,中正區,,,長沙街一段2號
447,臺北市,中正區,,,長沙街一段2號
448,臺北市,中正區,,,長沙街一段2號
449,臺北市,中正區,,,襄陽路二號
450,臺北市,中正區,,,襄陽路25號
451,臺北市,中正區,,,襄陽路25號
452,臺北市,中正區,,,襄陽路25號
453,臺北市,中正區,,,襄陽路25號
454,臺北市,中正區,,,南昌路一段1號
455,臺北市,中正區,,,南昌路一段1號
456,臺中市,霧峰區,,,大同路8號
457,臺中市,霧峰區,,,大同路8號
458,臺中市,霧峰區,,,大同路8號
459,臺中市,霧峰區,,,大同路8號
460,高雄市,鹽埕區,,,8鄰大勇路1號
461,高雄市,鹽埕區,,,8鄰大勇路1號
462,屏東市,民生路,,,4-17號
463,桃園市,桃園區,,,縣府路21號
488,高雄市,鳳山區,,,高雄市鳳山區三多一路 1 號
489,新北市,淡水區,,,新民街1段138巷7號
490,新北市,淡水區,,,觀海路91號3樓、4樓
491,澎湖縣,馬公市,,,中華路230號
492,高雄市,鹽埕區,,,8鄰大勇路1號
493,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
494,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
495,高雄市,大樹區,,,25鄰久堂路97-1號
496,宜蘭縣,蘇澳鎮,,,
497,高雄市,大樹區,,,25鄰久堂路97-1號
498,臺中市,西屯區,,,惠來路二段101號
499,臺北市,延平南,,,路98號2樓
500,臺中市,西屯區,,,惠來路二段101號
501,桃園市,平鎮區,,,環南路三段88號
502,高雄市,鼓山區,,,6鄰美術館路80號
503,桃園市,大溪區,,,普濟路33-3號
504,臺南市,官田區,,,中山路1段129號
505,桃園市,大溪區,,,員林路一段29巷101號
506,臺中市,大肚區,,,
507,彰化縣,彰化市,,,中華路57號
508,臺東縣,成功鎮,,,
509,臺中市,豐原區,,,圓環東路782號
510,南投縣,南投市,,,建國路135號
464,高雄市,三民區,,,2鄰十全一路220號
465,高雄市,左營區,,,2鄰啟文路12號
466,高雄市,鹽埕區,,,8鄰大勇路1號
467,臺中市,大里區,,,勝利二路1號
468,高雄市,鹽埕區,,,8鄰大勇路1號
469,苗栗縣,銅鑼鄉,,,銅科南路6號
470,苗栗縣,銅鑼鄉,,,銅科南路6號
471,宜蘭縣,五結鄉,,,五濱路二段201號
472,臺中市,大里區,,,科技路1號
473,臺中市,大里區,,,科技路1號
474,臺北市,中正區,,,台北市中正區中山南路21號
475,新北市,永和區,,,文化路192巷4弄2-1號
476,新北市,淡水區,,,中正路28巷1號
477,新北市,淡水區,,,中正路28巷1號
478,新北市,淡水區,,,馬偕街19 號
479,新北市,淡水區,,,中正路28巷1號
480,新北市,淡水區,,,中正路259 號
481,高雄市,鼓山區,,,4鄰鼓山三路19-3號
482,澎湖縣,馬公市,,,中華路230號
483,宜蘭縣,員山鄉,,,8鄰員山路二段326號
484,臺北市,迪化街,,,一段21號9樓
485,新北市,全區域,,,
486,南投縣,草屯鎮,,,中正路573號
487,臺北市,中正區,,,濟南路二段27號
335,新竹市,東區,,,中正路65號
336,臺中市,南區,,,五權南路100號
337,嘉義縣,新港鄉,,,新中路305號
338,嘉義縣,新港鄉,,,新中路305號
339,嘉義縣,新港鄉,,,新中路305號
340,嘉義縣,新港鄉,,,新中路305號
341,嘉義縣,新港鄉,,,新中路305號
342,嘉義縣,新港鄉,,,新中路305號
343,嘉義縣,新港鄉,,,新中路305號
344,嘉義縣,新港鄉,,,新中路305號
345,臺北市,中山區,,,長安東路一段8-1號
346,屏東市,民生路,,,4-17號
347,高雄市,河西路,,,99號
348,高雄市,岡山區,,,公園路2-1號
349,高雄市,林園區,,,002鄰福興街97號
350,高雄市,旗山區,,,007鄰中山路1號
351,高雄市,鼓山區,,,蓮海路20號
352,高雄市,鳳山區,,,7鄰勝利路2號
353,高雄市,鳳山區,,,013鄰鳳明街62號
354,高雄市,大樹區,,,
355,高雄市,林園區,,,林園北路236號
356,高雄市,林園區,,,林園北路236號
357,民雄鄉,建國路,,,2段265號
358,高雄市,前鎮區,,,21鄰新光路61號
359,基隆市,中正區,,,信一路181號
360,基隆市,仁愛區,,,
361,桃園市,大溪區,,,中正路68號
362,桃園市,大溪區,,,普濟路17、19、21、23號
363,桃園市,大溪區,,,普濟路52號
364,桃園市,大溪區,,,9鄰月眉34號
365,臺南市,山上區,,,山上16號
366,澎湖縣,七美鄉,,,55號
367,澎湖縣,馬公市,,,中山路75號
368,澎湖縣,馬公市,,,臨海路40號
369,澎湖縣,馬公市,,,中華路230號
370,新北市,淡水區,,,中正路259 號
371,新北市,淡水區,,,中正路316、316-1號
372,新北市,淡水區,,,中正路28巷1號
373,新北市,淡水區,,,中正路28巷1號
374,澎湖縣,馬公市,,,41-2號
375,基隆市,中正區,,,
376,南投縣,竹山鎮,,,大勇路 26 號
377,南投縣,竹山鎮,,,大勇路 26 號
378,南投縣,竹山鎮,,,大勇路 26 號
379,南投縣,竹山鎮,,,大勇路 26 號
380,南投縣,竹山鎮,,,大勇路 26 號
381,高雄市,林園區,,,林園北路236號
382,臺南市,白河區,,,
383,南投縣,南投市,,,彰南路二段65號
384,臺南市,中西區,,,開山路152號
385,高雄市,鳳山區,,,017鄰光遠路161號
386,臺北市,信義區,,,仁愛路4段505號
387,臺北市,中正區,,,襄陽路2號 ( 二二八和平公園內) )
388,高雄市,美濃區,,,6鄰中正路一段59號
389,臺北市,中正區,,,南昌路一段1號
390,臺北市,仁愛路,,,4段505號
391,臺北市,南港區,,,研究院路二段130號
392,臺南市,南區,,,興中街7巷18弄5號
393,臺南市,南區,,,興中街7巷18弄5號
394,臺南市,南區,,,興中街7巷18弄5號
395,臺南市,南區,,,興中街7巷18弄5號
396,臺南市,南區,,,興中街7巷18弄5號
397,臺南市,南區,,,興中街7巷18弄5號
398,臺中市,西區,,,
399,高雄市,鼓山區,,,延平街87-13號
400,臺中市,南區,,,興路三段362號
401,臺中市,南區,,,興路三段362號
402,臺中市,南區,,,興路三段362號
403,臺中市,南區,,,興路三段362號
404,臺中市,南區,,,興路三段362號
405,高雄市,三民區,,,2鄰十全一路220號
406,臺中市,南區,,,興路三段362號
407,臺中市,南區,,,興路三段362號
408,臺中市,南區,,,興路三段362號
409,臺中市,南區,,,興路三段362號
410,臺中市,南區,,,興路三段362號
411,臺中市,南區,,,興路三段362號
412,臺中市,南區,,,興路三段362號
561,苗栗縣,銅鑼鄉,,,銅科南路6號
562,臺北市,新生南,,,路三段56巷7號2樓
563,臺北市,信義區,,,基隆路一段396號10樓
564,臺北市,信義區,,,基隆路一段396號10樓
565,臺北市,大安區,,,和平東路三段123號3樓
566,臺北市,士林區,,,至善路2段34號
567,臺北市,中正區,,,重慶南路二段六巷10號
568,高雄市,大寮區,,,捷西路298號
569,臺北市,中山區,,,中山區中山北路二段39巷3號(晶華酒店1F)
570,臺北市,中正區,,,重慶南路二段六巷10號
571,臺北市,信義區,,,基隆路二段79巷1弄1號
572,臺北市,萬華區,,,康定路173巷31號
573,臺中市,nul,,,l五權西路一段2號
574,臺北市,士林區,,,臨溪路72號
575,臺北市,中正區,,,八德路1段1號中六館
576,臺南市,佳里區,,,六安130號
577,臺南市,佳里區,,,六安130號
578,臺北市,中山南,,,路21-1號
579,,,,,
580,臺南市,佳里區,,,六安130號
604,臺北市,大同區,,,大龍街275號
605,桃園市,中壢區,,,台貿一街100號
606,桃園市,中壢區,,,中美路76號
607,桃園市,中壢區,,,強國路60號
608,桃園市,中壢區,,,台貿一街100號
609,臺中市,豐原區,,,圓環東路782號
610,桃園市,中壢區,,,中美路16號
611,桃園市,中壢區,,,中美路16號
612,南投縣,草屯鎮,,,中正路573號
613,臺中市,清水區,,,忠貞路21號
614,臺中市,大里區,,,勝利二路1號
615,臺中市,清水區,,,忠貞路21號
616,臺中市,清水區,,,忠貞路21號
617,臺中市,清水區,,,忠貞路21號
618,臺中市,清水區,,,忠貞路21號
619,臺中市,清水區,,,忠貞路21號
620,苗栗縣,銅鑼鄉,,,銅科南路6號
621,臺北市,大同區,,,民生西路309號
622,苗栗縣,造橋鄉,,,
623,臺北市,中正區,,,中山南路21號
624,臺中市,西區,,,五權西路一段2號
625,高雄市,鳳山區,,,高雄市鳳山區三多一路 1 號
626,高雄市,鳳山區,,,高雄市鳳山區三多一路 1 號
627,高雄市,鳳山區,,,高雄市鳳山區三多一路 1 號
628,高雄市,鹽埕區,,,8鄰大勇路1號
629,宜蘭縣,宜蘭市,,,9鄰復興路二段101號
630,宜蘭縣,宜蘭市,,,9鄰復興路二段101號
631,宜蘭縣,宜蘭市,,,9鄰復興路二段101號
632,宜蘭縣,宜蘭市,,,9鄰復興路二段101號
633,臺中市,西屯區,,,惠來路二段101號
634,高雄市,新興區,,,1鄰中正三路34號3樓
635,臺中市,西區,,,五權西路一段2號
636,臺中市,西區,,,五權西路一段2號
637,臺中市,西區,,,五權西路一段2號
638,臺北市,大同區,,,寧夏路89號
639,臺北市,大同區,,,民生西路309號
640,桃園市,桃園區,,,同安街601號
641,桃園市,大溪區,,,康莊路641號 (大溪高中勤學樓1樓)
642,桃園市,龜山區,,,自強南路97號
643,桃園市,桃園區,,,同安街601號
644,桃園市,平鎮區,,,環南路三段88號
645,桃園市,中壢區,,,強國路60號
646,新北市,中和區,,,
647,新北市,中和區,,,南山路236號6樓
648,臺中市,北屯區,,,旅順路2段73號
649,臺北市,信義區,,,光復南路133號
650,臺北市,信義區,,,光復南路133號
675,宜蘭縣,宜蘭市,,,9鄰復興路二段101號
