ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
1050,新北市,鶯歌區,同慶里,陶瓷街18號3樓,A6508-22,A6508-22-009,A6508-0284-00,AL0-F2-0-2020M07,121.348511158942,24.9517703655283,EPSG:4326
1051,花蓮縣,花蓮市,民立里,文復路6號,A1501-13,A1501-13-014,A1501-0369-00,AL0-F1-0-2020M07,121.628926157068,23.9901560880496,EPSG:4326
1052,新北市,線上辦,,理,,,,門牌比對失敗或格式有誤,,,
1053,臺北市,中正區,東門里,中山南路21號,A6305-06,A6305-06-007,A6305-0292-00,AL0-F1-0-2020M07,121.521533610272,25.0347508475195,EPSG:4326
1054,臺北市,中正區,東門里,中山南路21號,A6305-06,A6305-06-007,A6305-0292-00,AL0-F1-0-2020M07,121.521533610272,25.0347508475195,EPSG:4326
1055,臺北市,中正區,南門里,南海路41號,A6305-23,A6305-23-004,A6305-0346-00,AL0-F1-0-2020M07,121.512322464147,25.0317602136074,EPSG:4326
1056,臺北市,中正區,東門里,中山南路21號,A6305-06,A6305-06-007,A6305-0292-00,AL0-F1-0-2020M07,121.521533610272,25.0347508475195,EPSG:4326
1057,臺北市,台北市,,大安區大安路一段77號地下街-近東區地下街14號出口,,,,門牌比對失敗或格式有誤,,,
1058,新竹縣,竹北市,文化里,縣政九路146號,A0401-28,A0401-28-009,A0401-0644-00,AL0-F1-0-2020M07,121.012495532887,24.8300958761876,EPSG:4326
1059,新竹縣,竹北市,文化里,縣政九路146號,A0401-28,A0401-28-009,A0401-0644-00,AL0-F1-0-2020M07,121.012495532887,24.8300958761876,EPSG:4326
1060,新竹縣,竹北市,文化里,縣政九路146號,A0401-28,A0401-28-009,A0401-0644-00,AL0-F1-0-2020M07,121.012495532887,24.8300958761876,EPSG:4326
1061,臺北市,中正區,東門里,中山南路21號,A6305-06,A6305-06-007,A6305-0292-00,AL0-F1-0-2020M07,121.521533610272,25.0347508475195,EPSG:4326
1062,高雄市,三民區,安發里,九如一路777號2樓,A6405-A6,A6405-A6-003,A6405-1346-00,AL0-F2-0-2020M07,120.323447565077,22.6385566547214,EPSG:4326
1063,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
1064,臺中市,西區,土庫里,五權西路一段2號,A6604-19,A6604-19-012,A6604-0303-00,AL0-F1-0-2020M07,120.663569248236,24.1415262580626,EPSG:4326
1065,臺北市,中正區,河堤里,同安街107號,A6305-50,A6305-50-003,A6305-0667-00,AL0-F1-0-2020M07,121.52044308458,25.0214577484799,EPSG:4326
1066,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
1067,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
1068,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
1069,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
1070,臺北市,士林區,德華里,文林路751號,A6311-49,A6311-49-002,A6311-0609-00,AL0-F1-0-2020M07,121.519443683304,25.1027898963203,EPSG:4326
