1601788898118 ,Noodlersink 19023 Squeteague,ink,500,https://noodlersink.com/wp-content/uploads/2019/11/19023-scaled-700x662.jpg,Propertie: 3 oz,10
1601788891116 ,TWSBI 三文堂 DIAMOND ＃580AL 陽極翡翠綠,pen,1800,https://www.tylee.tw/image/catalog/product-2017/2019/01/IMG_0982%202.jpg,三文堂鑽石580是一支活塞上墨鋼筆。<br><br>採用活塞上墨方式，所有零件均可重複拆裝，<br><br>方便進行保養維修，最重要的是一支性價比高的鋼筆。<br><br>全新鋁合金握位＆活塞機構，質感提升。,10
160178883411 ,TWSBI 三文堂 DIAMOND ＃580AL R 鋁合金版透明活塞鋼筆  (溫莎藍),pen,1800,https://www.tylee.tw/image/catalog/product-image/2020/05/28/4XswUA0eL5eNnkOx5orMH8tSyQaxn9O9lg.jpg,三文堂鑽石580 AL R是一支活塞上墨鋼筆。<br><br>採用活塞上墨方式，所有零件均可重複拆裝，<br><br>方便進行保養維修，最重要的是一支CP值高的鋼筆。,10
1601788953133 ,TWSBI 三文堂 DIAMOND MINI 全透明 活塞 鋼筆,pen,1350,https://www.tylee.tw/image/catalog/product-2017/2019/04/IMG_4452.jpg,臺灣自製開發活塞上墨鋼筆<br><br>筆身為高級樹脂<br><br>筆尖採用德國Schmidt尖，書寫流利<br><br>手持穩重手感極佳，書寫時可將筆蓋鎖至筆尾!,10
160178884313 ,PELIKAN 百利金 M205 DUO HIGHLIGHTER SHINY GREEN 螢光綠,pen,3840,https://www.tylee.tw/image/catalog/product-2017/2018/06/IMG_6676.JPG,M205 DUO是一支螢光筆也是活塞入墨的兩用鋼筆 - 故名 Duo <br><br>此款除了普通的筆尖<br><br>另有加寬的不鏽鋼BB筆尖可選<br><br>極具吸引力的禮盒中也同樣包含一瓶特別的亮綠色螢光墨水,10
1601788957134 ,PELIKAN 百利金 CLASSIC M200 SMOKY QUARTZ 煙晶,pen,4200,https://www.tylee.tw/image/catalog/product/20768018_10212360400422791_3129160301359936578_n.jpg,與過往特別版不同:該款200系列煙晶是首款使用金黃色配件裝飾的筆款。<br><br>金黃色箍環、精緻的百利金筆夾和鍍金的不銹鋼筆尖完美地契合棕色的色彩溫度、如煙霧般的色調。<br><br>該款M200系列將提供配備活塞入墨機構的鋼筆。,10
1601788927126 ,PELIKAN 百利金 M600 VIBRANT ORANGE 亮麗橘,pen,12480,https://www.tylee.tw/image/catalog/product-2017/2018/10/IMG_6263.jpg,該新款色彩豐富的系列筆款呈現出秋天所見的色彩轉化的優美。<br><br>該系列筆款明亮的壓克力材料必須經過數道生產步驟才能更準確地捕捉並重新呈現出明亮的樹葉色彩。<br><br>從透明到強烈的橙色色調的細微差異是這個系列筆款的特點，使得書寫工具閃耀迷人。<br><br>閃耀的金色環飾和14K金黃筆尖部分以銠金裝飾，這使得這個系列的色調更加溫暖。,10
1601788939129 ,PELIKAN 百利金 14K金 M600 限量款 TURQUOISE-WHITE 土耳其藍,pen,3680,https://www.tylee.tw/image/catalog/product-2017/2018/04/%202018-3-31%2015%2002%2057.jpg,白色線條使用高品質樹脂先加以切削成型再加以拋光至高亮。<br><br>白色和土耳其藍線條筆桿由醋酸纖維層板製成並精心製作成套筒。<br><br>所有環飾和具代表性的百利金筆夾皆鍍上24K金。<br><br>鋼筆裝配14K雙色金黃筆尖並以銠金裝飾。,5
1601788880113 ,PELIKAN 百利金 CLASSIC M205 2018 OLIVINE 橄欖石綠,pen,3680,https://www.tylee.tw/image/catalog/product-2017/2018/09/2018olivine.jpg,經典205橄欖石綠<br>天然寶石的色彩印象結合了深淺綠色，在一支筆上呈現出的色調變化，令人驚奇，協調完美的呈現出橄欖石綠的效果。<br><br>M205鋼筆的不銹鋼筆尖經過高度拋光呈現出耀眼的銀色。<br><br>依據各別書寫習慣和喜好，筆尖有多種粗細可供選擇。,10
1601788923125 ,PELIKAN 百利金 M400 14K金 鋼筆,pen,10400,https://www.tylee.tw/image/catalog/product-2017/2018/10/IMG_5876.JPG,在80年代，這個系列被命名為Souver?n，<br><br>儘管大多數人習慣上以它的暱稱“施德萊斯曼”來叫它<br><br>因為當時的魏瑪共和國的國務卿以他的線條形的西裝而聞名。,10
160178885416 ,PELIKAN 百利金 M1005 18K 鋼筆 (煤灰色),pen,20000,https://www.tylee.tw/image/catalog/product-2017/2019/01/IMG_1053.jpg,活塞入墨系統鍍以24K純金並由醋酸纖維層板精製而成精美的條紋狀筆身。<br><br>帶有活塞入墨系統的帝王系列的M1000和M800配備的是18K金筆尖，<br><br>所有筆尖書寫品質經由大師手寫測試。,5
